Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-01-01,S001,P0096,Toys,West,158,134,142,152.36,40.88,5,Sunny,1,42.39,Winter
2022-01-01,S001,P0016,Clothing,East,189,127,125,150.47,90.78,0,Rainy,0,84.16,Winter
2022-01-01,S001,P0031,Electronics,West,75,48,39,68.62,13.99,20,Rainy,0,12.67,Winter
2022-01-01,S001,P0159,Electronics,West,161,74,71,75.46,84.92,10,Snowy,0,83.03,Winter
2022-01-01,S001,P0129,Furniture,South,135,66,69,67.18,19.66,0,Cloudy,0,20.55,Winter
2022-01-01,S001,P0116,Furniture,East,53,63,52,71.15,92.26,10,Cloudy,0,88.54,Winter
2022-01-01,S001,P0070,Electronics,North,99,59,51,69.07,78.39,0,Cloudy,1,79.78,Winter
2022-01-01,S001,P0171,Electronics,East,133,59,59,67.23,57.84,5,Cloudy,0,59.39,Winter
2022-01-01,S001,P0175,Electronics,East,163,88,86,112.45,18.62,0,Cloudy,0,19.25,Winter
2022-01-01,S001,P0046,Clothing,South,139,117,110,128.42,64.72,5,Rainy,0,67.55,Winter
2022-01-01,S001,P0067,Furniture,North,101,93,92,120.27,23.6,0,Rainy,1,25.72,Winter
2022-01-01,S001,P0183,Electronics,West,163,86,69,84.6,40.26,0,Snowy,0,41.32,Winter
2022-01-01,S001,P0166,Groceries,North,231,123,138,131.48,40.07,10,Rainy,0,42.16,Winter
2022-01-01,S001,P0079,Furniture,East,130,100,116,126.86,43.72,0,Sunny,0,41.44,Winter
2022-01-01,S001,P0187,Clothing,South,112,75,66,87.2,16.48,10,Rainy,0,15.66,Winter
2022-01-01,S001,P0178,Clothing,South,103,70,81,96.36,62.74,5,Sunny,0,65.02,Winter
2022-01-01,S001,P0057,Clothing,East,142,115,112,118.46,63.14,10,Snowy,0,61.15,Winter
2022-01-01,S001,P0153,Furniture,East,166,119,119,126.39,12.46,0,Snowy,0,13.03,Winter
2022-01-01,S001,P0083,Toys,East,151,99,86,115.93,34.64,5,Cloudy,0,35.6,Winter
2022-01-01,S001,P0069,Clothing,North,58,53,42,50.31,56.5,0,Snowy,0,61.67,Winter
2022-01-01,S001,P0125,Clothing,West,169,101,84,99.06,25.18,15,Cloudy,0,27.41,Winter
2022-01-01,S001,P0017,Toys,South,70,64,68,92.68,40.64,0,Cloudy,0,36.99,Winter
2022-01-01,S001,P0149,Furniture,West,133,76,69,99.45,26.44,15,Rainy,0,26.44,Winter
2022-01-01,S001,P0094,Groceries,North,147,65,76,79.77,85.14,20,Cloudy,0,87.34,Winter
2022-01-01,S001,P0066,Clothing,North,190,138,116,149.0,93.48,0,Sunny,0,101.0,Winter
2022-01-01,S001,P0061,Clothing,South,180,94,83,127.95,76.61,10,Snowy,0,76.46,Winter
2022-01-01,S001,P0085,Electronics,North,154,92,74,109.98,11.48,5,Snowy,0,10.35,Winter
2022-01-01,S001,P0068,Electronics,South,70,44,48,53.74,44.9,10,Rainy,0,48.41,Winter
2022-01-01,S001,P0126,Clothing,South,290,235,211,248.23,19.29,10,Cloudy,1,18.86,Winter
2022-01-01,S001,P0133,Clothing,North,131,80,72,74.93,35.45,10,Rainy,0,36.33,Winter
2022-01-01,S002,P0096,Toys,South,176,127,124,137.77,90.27,0,Sunny,1,90.2,Winter
2022-01-01,S002,P0016,Clothing,East,210,180,184,228.88,16.34,0,Sunny,0,17.69,Winter
2022-01-01,S002,P0031,Electronics,South,144,83,87,98.18,70.35,0,Rainy,0,75.84,Winter
2022-01-01,S002,P0159,Electronics,South,114,81,74,96.65,12.51,20,Sunny,0,11.52,Winter
2022-01-01,S002,P0129,Furniture,South,87,77,67,96.36,95.56,10,Cloudy,0,98.3,Winter
2022-01-01,S002,P0116,Furniture,South,182,109,101,129.12,23.27,5,Rainy,0,22.09,Winter
2022-01-01,S002,P0070,Electronics,East,231,129,149,131.15,24.29,10,Rainy,0,24.18,Winter
2022-01-01,S002,P0171,Electronics,North,132,96,81,89.37,11.77,10,Cloudy,0,10.68,Winter
2022-01-01,S002,P0175,Electronics,West,90,56,60,74.48,96.99,5,Snowy,0,92.17,Winter
2022-01-01,S002,P0046,Clothing,South,217,148,156,149.78,53.99,5,Sunny,0,50.1,Winter
2022-01-01,S002,P0067,Furniture,West,169,121,97,171.72,67.75,20,Sunny,1,61.63,Winter
2022-01-01,S002,P0183,Electronics,South,56,50,49,61.51,90.37,10,Snowy,0,83.89,Winter
2022-01-01,S002,P0166,Groceries,North,123,62,61,80.29,92.47,0,Rainy,0,85.67,Winter
2022-01-01,S002,P0079,Furniture,South,168,106,102,144.95,11.15,10,Sunny,0,10.94,Winter
2022-01-01,S002,P0187,Clothing,South,129,97,96,131.15,28.34,10,Rainy,0,30.35,Winter
2022-01-01,S002,P0178,Clothing,East,225,139,132,138.39,97.47,0,Snowy,0,100.11,Winter
2022-01-01,S002,P0057,Clothing,West,180,85,88,119.82,91.53,15,Cloudy,0,93.73,Winter
2022-01-01,S002,P0153,Furniture,South,113,104,90,122.5,97.23,0,Cloudy,0,96.49,Winter
2022-01-01,S002,P0083,Toys,West,89,51,50,71.11,61.26,10,Rainy,0,65.57,Winter
2022-01-01,S002,P0069,Clothing,East,166,156,130,195.1,59.86,0,Cloudy,0,59.79,Winter
2022-01-01,S002,P0125,Clothing,West,201,126,115,115.17,96.32,20,Sunny,0,98.21,Winter
2022-01-01,S002,P0017,Toys,West,164,101,106,116.35,68.86,20,Cloudy,0,63.13,Winter
2022-01-01,S002,P0149,Furniture,North,117,109,93,139.39,92.26,20,Sunny,0,88.83,Winter
2022-01-01,S002,P0094,Groceries,West,113,53,56,63.04,38.45,5,Cloudy,0,39.32,Winter
2022-01-01,S002,P0066,Clothing,East,232,171,195,176.59,41.7,10,Rainy,1,38.89,Winter
2022-01-01,S002,P0061,Clothing,South,219,148,169,210.2,34.91,0,Cloudy,0,37.11,Winter
2022-01-01,S002,P0085,Electronics,North,162,139,121,130.34,49.63,10,Sunny,1,51.89,Winter
2022-01-01,S002,P0068,Electronics,North,140,121,131,150.38,19.87,15,Snowy,0,19.87,Winter
2022-01-01,S002,P0126,Clothing,East,73,76,69,77.65,78.93,0,Snowy,0,75.05,Winter
2022-01-01,S002,P0133,Clothing,East,191,105,101,144.86,82.24,5,Rainy,0,85.26,Winter
2022-01-01,S003,P0096,Toys,South,149,86,79,106.53,59.64,0,Snowy,0,58.61,Winter
2022-01-01,S003,P0016,Clothing,North,189,184,176,212.11,54.5,10,Sunny,0,54.18,Winter
2022-01-01,S003,P0031,Electronics,East,154,67,71,84.62,82.95,20,Snowy,0,74.7,Winter
2022-01-01,S003,P0159,Electronics,South,119,108,100,134.44,16.52,5,Sunny,1,15.27,Winter
2022-01-01,S003,P0129,Furniture,East,207,144,120,142.49,40.66,10,Cloudy,0,37.52,Winter
